iter	RMSE
0	9.596807282
1	9.532066161
2	9.467557463
3	9.404502829
4	9.342284167
5	9.281195925
6	9.220888304
7	9.160633632
8	9.101247109
9	9.042283809
10	8.984791772
11	8.928400269
12	8.872449974
13	8.816317586
14	8.761847917
15	8.708474032
16	8.655622072
17	8.603446841
18	8.551882893
19	8.501093645
20	8.451207527
21	8.401703956
22	8.352278409
23	8.30326241
24	8.255942362
25	8.209327542
26	8.161296172
27	8.114999496
28	8.068261918
29	8.021627026
30	7.977321979
31	7.933079206
32	7.889403785
33	7.846400837
34	7.804445578
35	7.761999941
36	7.720735475
37	7.679537112
38	7.63947208
39	7.599416221
40	7.559956212
41	7.521843131
42	7.483542339
43	7.445886592
44	7.408769643
45	7.372078956
46	7.336286473
47	7.300742467
48	7.265983586
49	7.231384892
50	7.198135221
51	7.164582143
52	7.131943514
53	7.09945774
54	7.067356146
55	7.035596201
56	7.004630065
57	6.973427609
58	6.943233115
59	6.913270651
60	6.883738277
61	6.854383014
62	6.825522115
63	6.797121137
64	6.769101908
65	6.742034897
66	6.714929772
67	6.688240301
68	6.662381093
69	6.636495264
70	6.611157722
71	6.586024823
72	6.561347237
73	6.537153205
74	6.513468064
75	6.489960484
76	6.466502911
77	6.443971079
78	6.42121349
79	6.399119992
80	6.377653806
81	6.356389237
82	6.335010009
83	6.314591884
84	6.293924704
85	6.273995323
86	6.254388706
87	6.234625766
88	6.215457436
89	6.196708995
90	6.178419071
91	6.160346404
92	6.142595111
93	6.125075256
94	6.107563369
95	6.090597872
96	6.073342079
97	6.056344533
98	6.039235482
99	6.021809716
100	6.005667482
101	5.988859341
102	5.973188539
103	5.957695713
104	5.941362554
105	5.926815598
106	5.91213111
107	5.898178617
108	5.884320194
109	5.869978921
110	5.855813407
111	5.841869916
112	5.828678123
113	5.814601579
114	5.80183348
115	5.789103925
116	5.776568043
117	5.763879411
118	5.750576043
119	5.738626212
120	5.726961665
121	5.714524033
122	5.703439961
123	5.691685926
124	5.679833275
125	5.669022716
126	5.658370579
127	5.647868492
128	5.637599619
129	5.62738107
130	5.61657891
131	5.606115452
132	5.595658063
133	5.586075862
134	5.575933418
135	5.566592076
136	5.557512863
137	5.548535372
138	5.538614923
139	5.529247265
140	5.520705964
141	5.511197816
142	5.502930105
143	5.494717681
144	5.486439221
145	5.478624889
146	5.470079934
147	5.462496358
148	5.454343374
149	5.446912746
150	5.439658529
151	5.431450166
152	5.423407889
153	5.416526213
154	5.408631213
155	5.401258288
156	5.393650085
