iter	Passed	Remaining
0	191	956692
1	374	935764
2	559	931666
3	728	910107
4	920	919857
5	1123	935333
6	1325	945185
7	1534	957656
8	1713	950029
9	1906	951222
10	2094	950156
11	2292	952866
12	2474	949275
13	2666	949664
14	2861	950870
15	3057	952511
16	3244	951000
17	3437	951381
18	3624	950207
19	3811	949075
20	3996	947524
21	4159	941256
22	4338	938792
23	4528	938824
24	4717	938868
25	4906	938741
26	5099	939179
27	5289	939281
28	5477	938869
29	5681	941274
30	5881	942739
31	6077	943515
32	6279	945193
33	6480	946496
34	6681	947873
35	6898	951174
36	7098	952203
37	7284	951257
38	7480	951614
39	7659	949830
40	7844	948809
41	8032	948238
42	8205	945967
43	8389	944954
44	8570	943669
45	8756	943031
46	8955	943721
47	9157	944705
48	9353	945129
49	9535	943971
50	9741	945350
51	9932	945120
52	10119	944581
53	10313	944681
54	10492	943367
55	10670	942025
56	10859	941705
57	11038	940572
58	11234	940804
59	11427	940845
60	11603	939524
61	11777	938026
62	11962	937406
63	12144	936675
64	12327	935921
65	12517	935748
66	12709	935791
67	12895	935336
68	13105	936585
69	13318	938034
70	13513	938169
71	13701	937808
72	13887	937307
73	14092	938075
74	14291	938442
75	14486	938582
76	14673	938143
77	14874	938639
78	15062	938247
79	15260	938528
80	15452	938402
81	15687	940883
82	15885	941084
83	16085	941380
84	16269	940739
85	16459	940488
86	16630	939129
87	16839	939928
88	17040	940268
89	17250	941093
90	17450	941392
91	17654	941815
92	17861	942447
93	18095	944422
94	18331	946477
95	18574	948837
96	18800	950303
97	19054	953104
98	19287	954850
99	19528	956920
100	19731	957052
101	19967	958828
102	20207	960758
103	20442	962391
104	20673	963763
105	20910	965455
106	21159	967609
107	21392	969021
108	21618	970077
109	21842	971003
110	22097	973292
111	22322	974224
112	22574	976282
113	22814	977820
114	23060	979566
115	23352	983220
116	23589	984498
117	23837	986223
118	24067	987189
119	24317	988906
120	24530	989121
121	24766	990259
122	25006	991505
123	25247	992815
124	25503	994646
125	25748	996011
126	25988	997178
127	26226	998234
128	26453	998884
129	26677	999376
130	26936	1001156
131	27169	1001993
132	27407	1002955
133	27622	1003064
134	27845	1003464
135	28068	1003848
136	28304	1004718
137	28517	1004709
138	28724	1004543
139	28913	1003699
140	29099	1002792
141	29294	1002196
142	29481	1001340
143	29688	1001166
144	29885	1000650
145	30081	1000112
146	30282	999732
147	30508	1000193
148	30690	999202
149	30872	998203
150	31076	997960
151	31277	997578
152	31473	997062
153	31713	997930
154	31938	998320
155	32167	998853
156	32390	999148
157	32614	999500
158	32834	999705
159	33069	1000339
160	33301	1000920
161	33515	1000905
162	33725	1000813
163	33960	1001411
164	34169	1001283
165	34401	1001777
166	34632	1002260
167	34849	1002351
168	35048	1001877
169	35255	1001677
170	35462	1001446
171	35683	1001625
172	35922	1002309
173	36159	1002910
174	36432	1004490
175	36651	1004589
176	36888	1005171
177	37138	1006070
178	37363	1006320
179	37594	1006686
180	37847	1007674
181	38096	1008499
182	38317	1008598
183	38554	1009110
184	38787	1009512
185	39021	1009946
186	39251	1010259
187	39471	1010304
188	39701	1010614
189	39925	1010735
190	40157	1011076
191	40404	1011788
192	40633	1012038
193	40858	1012185
194	41081	1012289
195	41305	1012415
196	41545	1012905
197	41779	1013258
198	42006	1013434
199	42242	1013815
200	42452	1013588
201	42694	1014088
202	42922	1014286
203	43139	1014198
204	43357	1014131
205	43590	1014441
206	43805	1014305
207	44024	1014264
208	44257	1014524
209	44456	1014023
210	44685	1014204
211	44891	1013867
212	45093	1013448
213	45314	1013442
214	45529	1013303
215	45761	1013522
216	45992	1013735
217	46231	1014118
218	46447	1013993
219	46664	1013902
220	46894	1014073
221	47128	1014333
222	47352	1014361
223	47600	1014906
224	47870	1015907
225	48114	1016375
226	48367	1017001
227	48627	1017764
228	48899	1018783
229	49119	1018687
230	49371	1019271
231	49591	1019189
232	49854	1019993
233	50081	1020039
234	50334	1020612
235	50562	1020668
236	50798	1020900
237	51034	1021118
238	51222	1020368
239	51407	1019587
240	51637	1019672
241	51844	1019331
242	52057	1019092
243	52286	1019162
244	52529	1019499
245	52706	1018568
246	52932	1018575
247	53143	1018301
248	53320	1017366
249	53539	1017246
250	53766	1017282
251	54000	1017432
